Gene stable ID	Chromosome/scaffold name	Gene name
ENSG00000202199	X	RNU1-115P
ENSG00000207641	X	MIR510
ENSG00000216056	X	MIR891A
ENSG00000199424	X	Y_RNA
ENSG00000265789	X	MIR4330
ENSG00000278724	X	Metazoa_SRP
ENSG00000222313	X	RN7SKP267
ENSG00000201912	X	RN7SKP189
ENSG00000216171	X	MIR513C
ENSG00000207871	X	MIR513B
ENSG00000207873	X	MIR513A1
ENSG00000207984	X	MIR513A2
ENSG00000207731	X	MIR506
ENSG00000207969	X	MIR507
ENSG00000207589	X	MIR508
ENSG00000252583	X	MIR514B
ENSG00000212013	X	MIR509-2
ENSG00000212014	X	MIR509-3
ENSG00000208000	X	MIR509-1
ENSG00000202051	X	RNU6-382P
ENSG00000237623	X	NICN2P
ENSG00000266158	X	RN7SL785P
ENSG00000203402	X	
ENSG00000221459	X	SNORA11C
ENSG00000232009	X	
ENSG00000226556	X	NPM1P49
ENSG00000277605	X	Metazoa_SRP
ENSG00000196741	X	LINC01560
ENSG00000235636	X	NUS1P1
ENSG00000008056	X	SYN1
ENSG00000283743	X	
ENSG00000263858	X	MIR4769
ENSG00000126767	X	ELK1
ENSG00000267064	X	UXT-AS1
ENSG00000224656	X	SMSP1
ENSG00000229968	X	
ENSG00000188459	X	WASF4P
ENSG00000224401	X	RPL7P57
ENSG00000102265	X	TIMP1
ENSG00000147130	X	ZMYM3
ENSG00000147166	X	ITGB1BP2
ENSG00000224208	X	ZCRB1P1
ENSG00000213706	X	RHOG2P
ENSG00000275975	X	Metazoa_SRP
ENSG00000229601	X	
ENSG00000213018	X	PABPN1P1
ENSG00000199751	X	Y_RNA
ENSG00000215120	X	SOCS6P1
ENSG00000186810	X	CXCR3
ENSG00000155962	X	CLIC2
ENSG00000225008	X	TWF1P2
ENSG00000228986	X	PHF10P1
ENSG00000230491	X	SRD5A2P1
ENSG00000224216	X	
ENSG00000221190	X	MIR1184-2
ENSG00000221603	X	MIR1184-3
ENSG00000277745	X	H2AB3
ENSG00000224533	X	TMLHE-AS1
ENSG00000225393	X	
ENSG00000185973	X	TMLHE
ENSG00000237801	X	AMD1P2
ENSG00000237040	X	DPH3P2
ENSG00000124333	X	VAMP7
ENSG00000228410	X	ELOCP24
ENSG00000223484	X	TRPC6P1
ENSG00000270726	X	
ENSG00000185203	X	WASIR1
ENSG00000227159	X	DDX11L16
ENSG00000102076	X	OPN1LW
ENSG00000277008	X	TEX28P2
ENSG00000268221	X	OPN1MW
ENSG00000274962	X	TEX28P1
ENSG00000277009	X	TEX28P3
ENSG00000231830	X	
ENSG00000285018	X	
ENSG00000207165	X	SNORA70
ENSG00000071859	X	FAM50A
ENSG00000276350	X	MIR6858
ENSG00000130827	X	PLXNA3
ENSG00000102178	X	UBL4A
ENSG00000126903	X	SLC10A3
ENSG00000264484	X	RN7SL697P
ENSG00000273041	X	ATF4P2
ENSG00000232155	X	
ENSG00000228464	X	
ENSG00000231388	X	FMN2P1
ENSG00000236160	X	
ENSG00000216938	X	RPL7P58
ENSG00000236683	X	HMGA1P1
ENSG00000252491	X	RNU1-142P
ENSG00000283446	X	
ENSG00000276391	X	
ENSG00000235461	X	
ENSG00000147180	X	ZNF711
ENSG00000230668	X	
ENSG00000226280	X	
ENSG00000233710	X	
ENSG00000234201	X	BMI1P1
ENSG00000123570	X	RAB9B
ENSG00000222419	X	RNA5SP511
ENSG00000231787	X	H2BP9
ENSG00000276298	X	
ENSG00000234345	X	ELF2P1
ENSG00000158427	X	TMSB15B
ENSG00000230312	X	SLC25A53P1
ENSG00000227067	X	DPPA3P1
ENSG00000282840	X	
ENSG00000223418	X	LIMK2P1
ENSG00000005302	X	MSL3
ENSG00000206792	X	Y_RNA
ENSG00000206795	X	Y_RNA
ENSG00000223487	X	FRMPD4-AS1
ENSG00000231211	X	RPL17P49
ENSG00000273800	X	
ENSG00000271814	X	RN7SKP290
ENSG00000229083	X	PSMA6P2
ENSG00000230691	X	MRPL35P4
ENSG00000196664	X	TLR7
ENSG00000233338	X	TLR8-AS1
ENSG00000250084	X	
ENSG00000278358	X	
ENSG00000278160	X	
ENSG00000275643	X	RBM22P6
ENSG00000204379	X	XAGE1A
ENSG00000223395	X	RBM22P7
ENSG00000277289	X	
ENSG00000227058	X	
ENSG00000231593	X	
ENSG00000228771	X	
ENSG00000185319	X	SSX14P
ENSG00000197185	X	SSX11P
ENSG00000234792	X	
ENSG00000187754	X	SSX7
ENSG00000228354	X	
ENSG00000222608	X	RNA5SP504
ENSG00000225508	X	SSX15P
ENSG00000237275	X	S100A11P10
ENSG00000223958	X	
ENSG00000225397	X	
ENSG00000229826	X	
ENSG00000269281	X	S100A11P8
ENSG00000226867	X	SSX21P
ENSG00000204363	X	SPANXN5
ENSG00000229885	X	
ENSG00000196395	X	
ENSG00000224781	X	EIF4A2P4
ENSG00000220541	X	PPIHP2
ENSG00000270524	X	QTRT1P1
ENSG00000201674	X	U3
ENSG00000207220	X	RNU1-57P
ENSG00000240327	X	RN7SL93P
ENSG00000212611	X	SNORD30
ENSG00000241743	X	XACT
ENSG00000211578	X	MIR766
ENSG00000214321	X	CBX1P4
ENSG00000238764	X	
ENSG00000265465	X	MIR4768
ENSG00000235834	X	
ENSG00000230020	X	NHS-AS1
ENSG00000226153	X	CHP1P3
ENSG00000047634	X	SCML1
ENSG00000227873	X	FAM136GP
ENSG00000277150	X	F8A3
ENSG00000184388	X	PABPC1L2B
ENSG00000175718	X	RBMXL3
ENSG00000268447	X	SSX2B
ENSG00000147036	X	LANCL3
ENSG00000275520	X	FAM236A
ENSG00000283463	X	HSFX4
ENSG00000063587	X	ZNF275
ENSG00000147117	X	ZNF157
ENSG00000179222	X	MAGED1
ENSG00000130021	X	PUDP
ENSG00000130054	X	NALF2
ENSG00000235961	X	PNMA6A
ENSG00000188153	X	COL4A5
ENSG00000134594	X	RAB33A
ENSG00000056277	X	ZNF280C
ENSG00000156709	X	AIFM1
ENSG00000223714	X	LINC02601
ENSG00000199564	X	RNA5SP502
ENSG00000238426	X	Y_RNA
ENSG00000226641	X	SHISA5P1
ENSG00000264573	X	RN7SL15P
ENSG00000225238	X	GEMIN7P1
ENSG00000233033	X	CASK-AS1
ENSG00000212207	X	RNU6-1321P
ENSG00000217624	X	YWHAZP10
ENSG00000242559	X	RN7SL144P
ENSG00000171657	X	GPR82
ENSG00000229822	X	RPS15AP39
ENSG00000237875	X	
ENSG00000251807	X	RNU6-202P
ENSG00000233103	X	
ENSG00000237106	X	FABP5P15
ENSG00000200906	X	RNU6-854P
ENSG00000263410	X	RN7SL460P
ENSG00000131174	X	COX7B
ENSG00000234391	X	
ENSG00000227302	X	SSX19P
ENSG00000230100	X	
ENSG00000270747	X	S100A11P9
ENSG00000165584	X	SSX3
ENSG00000225055	X	
ENSG00000234448	X	
ENSG00000268009	X	SSX4
ENSG00000231603	X	
ENSG00000231489	X	
ENSG00000235350	X	
ENSG00000226971	X	
ENSG00000068438	X	FTSJ1
ENSG00000224292	X	PORCN-DT
ENSG00000147155	X	EBP
ENSG00000286268	X	
ENSG00000276823	X	Metazoa_SRP
ENSG00000202469	X	Y_RNA
ENSG00000227042	X	
ENSG00000207202	X	RNU6-800P
ENSG00000102048	X	ASB9
ENSG00000165192	X	ASB11
ENSG00000165195	X	PIGA
ENSG00000165197	X	VEGFD
ENSG00000073464	X	CLCN4
ENSG00000234019	X	
ENSG00000235224	X	
ENSG00000231340	X	ACTG1P10
ENSG00000227329	X	
ENSG00000276575	X	MIR6895
ENSG00000277474	X	MIR6894
ENSG00000235262	X	KDM5C-IT1
ENSG00000226299	X	RPSAP62
ENSG00000207408	X	Y_RNA
ENSG00000236571	X	
ENSG00000234413	X	MPV17L2P1
ENSG00000278204	X	MIR6857
ENSG00000158423	X	RIBC1
ENSG00000233250	X	
ENSG00000235416	X	TIPINP1
ENSG00000199422	X	VTRNA3-1P
ENSG00000224942	X	EEDP1
ENSG00000275268	X	U7
ENSG00000225758	X	RPS17P17
ENSG00000134595	X	SOX3
ENSG00000130829	X	DUSP9
ENSG00000237793	X	RPL18AP16
ENSG00000244335	X	RN7SL687P
ENSG00000130822	X	PNCK
ENSG00000185825	X	BCAP31
ENSG00000101986	X	ABCD1
ENSG00000232725	X	PLXNB3-AS1
ENSG00000198753	X	PLXNB3
ENSG00000184343	X	SRPK3
ENSG00000180879	X	SSR4
ENSG00000184844	X	CYCSP45
ENSG00000198910	X	L1CAM
ENSG00000284987	X	
ENSG00000273769	X	L1CAM-AS1
ENSG00000102032	X	RENBP
ENSG00000172534	X	HCFC1
ENSG00000235802	X	HCFC1-AS1
ENSG00000177854	X	TMEM187
ENSG00000265176	X	MIR3202-1
ENSG00000283694	X	MIR3202-2
ENSG00000284286	X	MIR718
ENSG00000202024	X	RNU6-934P
ENSG00000126953	X	TIMM8A
ENSG00000241343	X	RPL36A
ENSG00000257529	X	RPL36A-HNRNPH2
ENSG00000126945	X	HNRNPH2
ENSG00000262919	X	CCNQ
ENSG00000217889	X	KRT18P48
ENSG00000130821	X	SLC6A8
ENSG00000229324	X	NUTF2P7
ENSG00000212605	X	RNU1-56P
ENSG00000227536	X	SOCS5P4
ENSG00000147164	X	SNX12
ENSG00000184481	X	FOXO4
ENSG00000204165	X	CXorf65
ENSG00000285171	X	
ENSG00000169562	X	GJB1
ENSG00000271886	X	MIR98
ENSG00000208012	X	MIRLET7F2
ENSG00000131263	X	RLIM
ENSG00000230673	X	PABPC1P3
ENSG00000199885	X	RNU6-330P
ENSG00000271589	X	
ENSG00000050030	X	NEXMIF
ENSG00000214016	X	RPSAP61
ENSG00000242065	X	RN7SL291P
ENSG00000189037	X	DUSP21
ENSG00000147113	X	DIPK2B
ENSG00000230934	X	
ENSG00000281852	X	LINC00891
ENSG00000237182	X	
ENSG00000237717	X	
ENSG00000224617	X	
ENSG00000229030	X	
ENSG00000230162	X	CT45A11P
ENSG00000219930	X	GAPDHP67
ENSG00000231513	X	E2F6P4
ENSG00000239080	X	
ENSG00000214720	X	KRT18P49
ENSG00000227610	X	FRMPD3-AS1
ENSG00000147224	X	PRPS1
ENSG00000130385	X	BMP15
ENSG00000275113	X	GAGE2E
ENSG00000236737	X	GAGE12B
ENSG00000213856	X	VDAC1P2
ENSG00000227391	X	SALL1P1
ENSG00000068985	X	PAGE1
ENSG00000101951	X	PAGE4
ENSG00000252454	X	MIR2114
ENSG00000234825	X	XRCC6P2
ENSG00000271339	X	
ENSG00000231164	X	RPL7P56
ENSG00000225125	X	RANP4
ENSG00000232611	X	
ENSG00000225400	X	RAB28P5
ENSG00000147274	X	RBMX
ENSG00000232379	X	RPL22P23
ENSG00000237307	X	SRRM1P3
ENSG00000165370	X	GPR101
ENSG00000224031	X	TCEAL3-AS1
ENSG00000172465	X	TCEAL1
ENSG00000180284	X	CNEP1R1P1
ENSG00000123562	X	MORF4L2
ENSG00000231154	X	MORF4L2-AS1
ENSG00000179363	X	TMEM31
ENSG00000269743	X	SLC25A53
ENSG00000102007	X	PLP2
ENSG00000012211	X	PRICKLE3
ENSG00000237341	X	SYP-AS1
ENSG00000102001	X	CACNA1F
ENSG00000230216	X	HSPB1P2
ENSG00000101997	X	CCDC22
ENSG00000049769	X	PPP1R3F
ENSG00000270012	X	
ENSG00000286031	X	
ENSG00000147118	X	ZNF182
ENSG00000221994	X	ZNF630
ENSG00000277541	X	ZNF630-AS1
ENSG00000230241	X	
ENSG00000233139	X	
ENSG00000201517	X	RNU6-707P
ENSG00000225198	X	SSX13P
ENSG00000238032	X	S100A11P5
ENSG00000234780	X	
ENSG00000252856	X	RNA5SP503
ENSG00000204368	X	SSX20P
ENSG00000231568	X	S100A11P7
ENSG00000229662	X	
ENSG00000232813	X	S100A11P6
ENSG00000241207	X	SSX18P
ENSG00000237345	X	
ENSG00000184788	X	SATL1
ENSG00000188021	X	UBQLN2
ENSG00000185985	X	SLITRK2
ENSG00000130962	X	PRRG1
ENSG00000101911	X	PRPS2
ENSG00000085224	X	ATRX
ENSG00000083750	X	RRAGB
ENSG00000101842	X	VSIG1
ENSG00000156298	X	TSPAN7
ENSG00000126759	X	CFP
ENSG00000000005	X	TNMD
ENSG00000223819	X	PPIAP89
ENSG00000238116	X	RAD21P1
ENSG00000275320	X	
ENSG00000202231	X	
ENSG00000224799	X	
ENSG00000237708	X	SPIN2P1
ENSG00000222303	X	RNU6-935P
ENSG00000287160	X	
ENSG00000271677	X	
ENSG00000238188	X	SPRING1P2
ENSG00000228659	X	LINC01201
ENSG00000147256	X	ARHGAP36
ENSG00000241198	X	RN7SL191P
ENSG00000269405	X	NXF2
ENSG00000273746	X	
ENSG00000231590	X	
ENSG00000158164	X	TMSB15A
ENSG00000271005	X	CTHRC1P1
ENSG00000102010	X	BMX
ENSG00000285602	X	
ENSG00000225833	X	ACE2-DT
ENSG00000237539	X	
ENSG00000200620	X	
ENSG00000281371	X	INE2
ENSG00000182287	X	AP1S2
ENSG00000200566	X	RNU5F-7P
ENSG00000226536	X	SETP15
ENSG00000169188	X	APEX2
ENSG00000158578	X	ALAS2
ENSG00000278283	X	
ENSG00000234466	X	HDGFL3P1
ENSG00000238269	X	PAGE2B
ENSG00000234068	X	PAGE2
ENSG00000278319	X	
ENSG00000276929	X	
ENSG00000186678	X	
ENSG00000229760	X	MTCO1P52
ENSG00000231947	X	MTND2P24
ENSG00000238047	X	MTND1P30
ENSG00000196924	X	FLNA
ENSG00000147003	X	CLTRN
ENSG00000147403	X	RPL10
ENSG00000072501	X	SMC1A
ENSG00000198689	X	SLC9A6
ENSG00000283775	X	MIR4329
ENSG00000243011	X	RN7SL266P
ENSG00000273773	X	
ENSG00000213338	X	ATF4P1
ENSG00000275882	X	IKBKGP1
ENSG00000226141	X	
ENSG00000237619	X	OR3B1P
ENSG00000235806	X	
ENSG00000287729	X	
ENSG00000238123	X	MID1IP1-AS1
ENSG00000228089	X	PNKDP1
ENSG00000235190	X	
ENSG00000200587	X	RNA5SP514
ENSG00000134602	X	STK26
ENSG00000228819	X	AGKP2
ENSG00000123728	X	RAP2C
ENSG00000123560	X	PLP1
ENSG00000228158	X	TLE1P1
ENSG00000227534	X	AP1M2P1
ENSG00000227942	X	FRMD8P1
ENSG00000147140	X	NONO
ENSG00000120280	X	TASL
ENSG00000178556	X	CKS1BP6
ENSG00000232368	X	FTLP2
ENSG00000229331	X	GK-IT1
ENSG00000241886	X	
ENSG00000243055	X	GK-AS1
ENSG00000277876	X	
ENSG00000231542	X	TAB3-AS1
ENSG00000235512	X	TAB3-AS2
ENSG00000102230	X	PCYT1B
ENSG00000226222	X	H2BP7
ENSG00000236836	X	PCYT1B-AS1
ENSG00000236487	X	
ENSG00000101868	X	POLA1
ENSG00000251869	X	SCARNA23
ENSG00000232472	X	EEF1B2P3
ENSG00000004848	X	ARX
ENSG00000214111	X	PAFAH1B2P1
ENSG00000240439	X	RN7SL91P
ENSG00000182484	X	WASH6P
ENSG00000234230	X	ZFX-AS1
ENSG00000225071	X	RPS26P58
ENSG00000131089	X	ARHGEF9
ENSG00000231729	X	ARHGEF9-IT1
ENSG00000236813	X	BTF3P8
ENSG00000222532	X	MIR1468
ENSG00000166707	X	ZCCHC18
ENSG00000158639	X	PAGE5
ENSG00000181191	X	PJA1
ENSG00000102387	X	TAF7L
ENSG00000165359	X	INTS6L
ENSG00000005889	X	ZFX
ENSG00000126752	X	SSX1
ENSG00000197779	X	ZNF81
ENSG00000080561	X	MID2
ENSG00000120498	X	TEX11
ENSG00000147138	X	GPR174
ENSG00000125354	X	SEPTIN6
ENSG00000022267	X	FHL1
ENSG00000131269	X	ABCB7
ENSG00000266828	X	RN7SL712P
ENSG00000231371	X	AKR1B1P8
ENSG00000234558	X	API5P1
ENSG00000180772	X	AGTR2
ENSG00000188706	X	ZDHHC9
ENSG00000235189	X	
ENSG00000238040	X	SALL4P2
ENSG00000156697	X	UTP14A
ENSG00000085185	X	BCORL1
ENSG00000288680	X	
ENSG00000207146	X	Y_RNA
ENSG00000133124	X	IRS4
ENSG00000237863	X	IRS4-AS1
ENSG00000279894	X	
ENSG00000196507	X	TCEAL3
ENSG00000288597	X	
ENSG00000123575	X	FAM199X
ENSG00000123576	X	ESX1
ENSG00000182378	X	PLCXD1
ENSG00000268651	X	CTAG1A
ENSG00000171388	X	APLN
ENSG00000287024	X	
ENSG00000122121	X	XPNPEP2
ENSG00000122122	X	SASH3
ENSG00000240143	X	
ENSG00000275070	X	Metazoa_SRP
ENSG00000078061	X	ARAF
ENSG00000230781	X	
ENSG00000101938	X	CHRDL1
ENSG00000226112	X	FCF1P4
ENSG00000234349	X	GLUD1P9
ENSG00000077274	X	CAPN6
ENSG00000251954	X	RNU6-496P
ENSG00000223904	X	HMGB1P12
ENSG00000229939	X	
ENSG00000225031	X	EIF4BP7
ENSG00000102359	X	SRPX2
ENSG00000101892	X	ATP1B4
ENSG00000251707	X	RNU7-37P
ENSG00000232119	X	MCTS1
ENSG00000171155	X	C1GALT1C1
ENSG00000278317	X	H3P46
ENSG00000181511	X	GLRX5P1
ENSG00000158290	X	CUL4B
ENSG00000238200	X	MGAT2P2
ENSG00000269096	X	CT45A3
ENSG00000278289	X	CT45A6
ENSG00000271449	X	CT45A2
ENSG00000278085	X	CT45A8
ENSG00000270946	X	CT45A9
ENSG00000207633	X	MIR505
ENSG00000203933	X	CXorf66
ENSG00000233145	X	
ENSG00000214653	X	HNRNPA3P3
ENSG00000241248	X	RN7SL727P
ENSG00000233535	X	
ENSG00000212663	X	
ENSG00000046647	X	GEMIN8
ENSG00000157600	X	TMEM164
ENSG00000208013	X	MIR652
ENSG00000265584	X	MIR3978
ENSG00000208883	X	SNORD96B
ENSG00000224142	X	AMMECR1-IT1
ENSG00000287685	X	
ENSG00000279601	X	
ENSG00000187808	X	SOWAHD
ENSG00000198918	X	RPL39
ENSG00000206622	X	SNORA69
ENSG00000286366	X	
ENSG00000125352	X	RNF113A
ENSG00000125356	X	NDUFA1
ENSG00000186471	X	AKAP14
ENSG00000101882	X	NKAP
ENSG00000261435	X	
ENSG00000263972	X	MIR1587
ENSG00000214047	X	RPS11P7
ENSG00000285709	X	
ENSG00000223486	X	LINC03053
ENSG00000236393	X	LINC03099
ENSG00000214045	X	IMPDH1P2
ENSG00000206677	X	Y_RNA
ENSG00000183337	X	BCOR
ENSG00000132446	X	FTHL17
ENSG00000252903	X	RNU6-894P
ENSG00000285900	X	
ENSG00000222922	X	RNA5SP501
ENSG00000236285	X	NPM1P8
ENSG00000263600	X	MIR3915
ENSG00000221348	X	MIR548F5
ENSG00000236828	X	DMD-AS3
ENSG00000226781	X	TBCAP1
ENSG00000215310	X	
ENSG00000265170	X	RN7SL667P
ENSG00000283093	X	CENPVL2
ENSG00000223591	X	CENPVL1
ENSG00000189369	X	GSPT2
ENSG00000236576	X	
ENSG00000252377	X	RNU6-504P
ENSG00000224109	X	CENPVL3
ENSG00000260118	X	
ENSG00000228328	X	PGK1P1
ENSG00000252145	X	RNU6-1225P
ENSG00000228125	X	AKIRIN1P2
ENSG00000206646	X	Y_RNA
ENSG00000225925	X	
ENSG00000181704	X	YIPF6
ENSG00000206747	X	RNU6-245P
ENSG00000079482	X	OPHN1
ENSG00000160131	X	VMA21
ENSG00000270052	X	
ENSG00000214915	X	
ENSG00000071553	X	ATP6AP1
ENSG00000186787	X	SPIN2B
ENSG00000165583	X	SSX5
ENSG00000165376	X	CLDN2
ENSG00000198455	X	ZXDB
ENSG00000165591	X	FAAH2
ENSG00000102385	X	DRP2
ENSG00000147251	X	DOCK11
ENSG00000283697	X	HSFX3
ENSG00000198205	X	ZXDA
ENSG00000176774	X	MAGEB18
ENSG00000232446	X	
ENSG00000227511	X	
ENSG00000176746	X	MAGEB6
ENSG00000232644	X	
ENSG00000188408	X	MAGEB5
ENSG00000237171	X	
ENSG00000178146	X	GK4P
ENSG00000215168	X	ATXN7L3P1
ENSG00000237294	X	EIF4BP9
ENSG00000231356	X	MTFR1P1
ENSG00000226820	X	
ENSG00000224236	X	MRRFP1
ENSG00000125675	X	GRIA3
ENSG00000179101	X	H3P47
ENSG00000228543	X	
ENSG00000232111	X	
ENSG00000282306	X	
ENSG00000282501	X	
ENSG00000282358	X	
ENSG00000282668	X	
ENSG00000282299	X	
ENSG00000282697	X	
ENSG00000282222	X	
ENSG00000281955	X	
ENSG00000281941	X	
ENSG00000282300	X	
ENSG00000101849	X	TBL1X
ENSG00000101850	X	GPR143
ENSG00000198759	X	EGFL6
ENSG00000233357	X	RPL30P15
ENSG00000283493	X	MIR6086
ENSG00000199622	X	RN7SKP20
ENSG00000123595	X	RAB9A
ENSG00000046651	X	OFD1
ENSG00000147133	X	TAF1
ENSG00000288053	X	
ENSG00000206936	X	RNU4-52P
ENSG00000068394	X	GPKOW
ENSG00000265033	X	RN7SL262P
ENSG00000280116	X	
ENSG00000279422	X	
ENSG00000123584	X	MAGEA9
ENSG00000224089	X	CT47A10
ENSG00000226600	X	CT47A9
ENSG00000230347	X	CT47A8
ENSG00000226023	X	CT47A6
ENSG00000237957	X	CT47A5
ENSG00000230594	X	CT47A4
ENSG00000236126	X	CT47A3
ENSG00000242362	X	CT47A2
ENSG00000268738	X	HSFX2
ENSG00000212747	X	RTL8B
ENSG00000134590	X	RTL8C
ENSG00000286964	X	
ENSG00000203950	X	RTL8A
ENSG00000228372	X	SMIM10L2B-AS1
ENSG00000234228	X	NCLP2
ENSG00000196972	X	SMIM10L2B
ENSG00000224107	X	ETDB
ENSG00000223809	X	
ENSG00000232582	X	
ENSG00000169551	X	CT55
ENSG00000236491	X	
ENSG00000228922	X	
ENSG00000269833	X	
ENSG00000186376	X	ZNF75D
ENSG00000238210	X	ETDA
ENSG00000274024	X	
ENSG00000283644	X	ETDC
ENSG00000284994	X	
ENSG00000173275	X	ZNF449
ENSG00000178947	X	SMIM10L2A
ENSG00000201440	X	RNA5SP515
ENSG00000225769	X	CROCCP1
ENSG00000273988	X	
ENSG00000271158	X	WDR4P1
ENSG00000123131	X	PRDX4
ENSG00000123130	X	ACOT9
ENSG00000233785	X	SAT1-DT
ENSG00000202272	X	Y_RNA
ENSG00000288706	X	
ENSG00000184831	X	APOO
ENSG00000238103	X	RPL9P7
ENSG00000165182	X	CXorf58
ENSG00000130830	X	MPP1
ENSG00000229237	X	HMGN1P37
ENSG00000274183	X	H2AB1
ENSG00000288722	X	F8A1
ENSG00000224069	X	
ENSG00000237859	X	EEF1A1P31
ENSG00000233688	X	ZNF622P1
ENSG00000176318	X	FOXN3P1
ENSG00000271147	X	ARMCX5-GPRASP2
ENSG00000227211	X	H3P45
ENSG00000198932	X	GPRASP1
ENSG00000286327	X	
ENSG00000252294	X	RNU6-589P
ENSG00000230320	X	BEND7P1
ENSG00000286237	X	ARMCX5-GPRASP2
ENSG00000198908	X	GPRASP3
ENSG00000215000	X	GAPDHP77
ENSG00000101890	X	GUCY2F
ENSG00000101888	X	NXT2
ENSG00000233874	X	MFN1P1
ENSG00000176076	X	KCNE5
ENSG00000068366	X	ACSL4
ENSG00000237319	X	
ENSG00000252069	X	Y_RNA
ENSG00000225381	X	RPS5P7
ENSG00000286118	X	
ENSG00000277858	X	H2AB2
ENSG00000288709	X	F8A2
ENSG00000183479	X	TREX2
ENSG00000203650	X	LINC01285
ENSG00000224341	X	AKR7A2P2
ENSG00000231270	X	COBLP1
ENSG00000175556	X	LONRF3
ENSG00000235483	X	GYG2-AS1
ENSG00000006756	X	ARSD
ENSG00000229851	X	ARSD-AS1
ENSG00000205667	X	ARSH
ENSG00000062096	X	ARSF
ENSG00000239228	X	RN7SL578P
ENSG00000230249	X	RPS24P21
ENSG00000226784	X	PGAM4
ENSG00000187325	X	TAF9B
ENSG00000223592	X	FNDC3CP
ENSG00000157399	X	ARSL
ENSG00000232282	X	MTND1P32
ENSG00000229954	X	MTND2P2
ENSG00000237300	X	MTCO1P19
ENSG00000237628	X	MTCO2P19
ENSG00000228316	X	MTATP6P19
ENSG00000224471	X	MTCO3P19
ENSG00000226056	X	MTND4P32
ENSG00000234886	X	MTND5P26
ENSG00000227649	X	MTND6P32
ENSG00000229794	X	MTCYBP32
ENSG00000202304	X	RNU6-1130P
ENSG00000225046	X	
ENSG00000102078	X	SLC25A14
ENSG00000147262	X	GPR119
ENSG00000271286	X	CYTH1P1
ENSG00000224204	X	PHEX-AS1
ENSG00000233067	X	PTCHD1-AS
ENSG00000175809	X	CBLL2
ENSG00000224396	X	METTL15P3
ENSG00000201095	X	RNU6-266P
ENSG00000231011	X	
ENSG00000237019	X	
ENSG00000102174	X	PHEX
ENSG00000270794	X	
ENSG00000099399	X	MAGEB2
ENSG00000120289	X	MAGEB4
ENSG00000276940	X	PLCE1P1
ENSG00000229967	X	MAGEA4-AS1
ENSG00000102287	X	GABRE
ENSG00000284363	X	MIR224
ENSG00000283751	X	MIR452
ENSG00000102119	X	EMD
ENSG00000147234	X	FRMPD3
ENSG00000230146	X	SEPHS1P4
ENSG00000274655	X	
ENSG00000277577	X	
ENSG00000278039	X	
ENSG00000182707	X	FXYD6P3
ENSG00000274430	X	
ENSG00000276784	X	
ENSG00000271199	X	
ENSG00000233984	X	RPSAP14
ENSG00000203397	X	SHISA5P2
ENSG00000234969	X	AARSD1P1
ENSG00000223650	X	UHRF2P1
ENSG00000232928	X	DDX3P1
ENSG00000280375	X	
ENSG00000230986	X	DDX3P2
ENSG00000224430	X	MKRN5P
ENSG00000196459	X	TRAPPC2
ENSG00000232801	X	SDCBPP3
ENSG00000189145	X	RPL32P36
ENSG00000216866	X	RPS2P55
ENSG00000287549	X	
ENSG00000237931	X	CLIC4P3
ENSG00000225839	X	TRMT2B-AS1
ENSG00000126950	X	TMEM35A
ENSG00000102384	X	CENPI
ENSG00000231643	X	YWHAQP8
ENSG00000213397	X	HAUS7
ENSG00000130066	X	SAT1
ENSG00000214107	X	MAGEB1
ENSG00000171054	X	OR13H1
ENSG00000171478	X	SPACA5B
ENSG00000130052	X	STARD8
ENSG00000198798	X	MAGEB3
ENSG00000215113	X	CXorf49B
ENSG00000147174	X	GCNA
ENSG00000166160	X	OPN1MW2
ENSG00000267978	X	MAGEA9B
ENSG00000225396	X	FAM236D
ENSG00000123165	X	ACTRT1
ENSG00000215115	X	CXorf49
ENSG00000184033	X	CTAG1B
ENSG00000126890	X	CTAG2
ENSG00000126016	X	AMOT
ENSG00000268350	X	FAM156A
ENSG00000204279	X	PAGE3
ENSG00000269791	X	SSX4B
ENSG00000236371	X	CT47A1
ENSG00000238205	X	MPC1L
ENSG00000184911	X	DMRTC1B
ENSG00000214717	X	ZBED1
ENSG00000277120	X	MIR6089
ENSG00000230542	X	LINC00102
ENSG00000002586	X	CD99
ENSG00000124343	X	XG
ENSG00000013619	X	MAMLD1
ENSG00000072506	X	HSD17B10
ENSG00000224735	X	
ENSG00000226110	X	
ENSG00000229037	X	MRPL32P2
ENSG00000189420	X	ZFP92
ENSG00000123569	X	H2BW1
ENSG00000269586	X	CT45A10
ENSG00000067840	X	PDZD4
ENSG00000102290	X	PCDH11X
ENSG00000147124	X	ZNF41
ENSG00000183837	X	PNMA3
ENSG00000251192	X	ZNF674
ENSG00000247746	X	USP51
ENSG00000269502	X	DMRTC1
ENSG00000179083	X	FAM133A
ENSG00000101981	X	F9
ENSG00000238485	X	
ENSG00000221375	X	RNU6ATAC23P
ENSG00000252719	X	
ENSG00000147378	X	FATE1
ENSG00000147381	X	MAGEA4
ENSG00000228965	X	RPSAP60
ENSG00000232562	X	TPMTP3
ENSG00000182776	X	
ENSG00000279750	X	
ENSG00000221705	X	SNORA11E
ENSG00000154545	X	MAGED4
ENSG00000221475	X	SNORA11D
ENSG00000179028	X	
ENSG00000076716	X	GPC4
ENSG00000206765	X	RNU6-203P
